time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/std,train/learning_rate,train/n_updates,train/value_loss
0,4662,2048,1,-188.87148757142856,279.0,,,,,,,,,,,
0,9337,4096,2,-188.24316221428575,279.0,-0.0047298873709223695,0.00039249658584594727,0.2,-2.81914154663682,0.06591796875,1.7945865392684937,0.008837696,0.9855428338050842,0.001,10,22.594808680564164
0,13642,6144,3,-187.11926345454546,279.0,-0.0025969364593038335,-0.0030411481857299805,0.2,-2.802675176411867,0.033740234375,7.5064215660095215,0.0064280364,0.9734753370285034,0.001,20,21.890334744006395
0,18035,8192,4,-187.08920244827584,279.0,-0.002024132083170116,0.00031375885009765625,0.2,-2.781287856400013,0.02783203125,6.435353755950928,0.0047589415,0.9693911075592041,0.001,30,28.981130622327328
0,22193,10240,5,-185.53852680555556,279.0,-0.0025871718680718914,-0.0003018379211425781,0.2,-2.764643447101116,0.047265625,18.49822998046875,0.0056326743,0.9601137638092041,0.001,40,33.08729805201292
0,26472,12288,6,-185.04807638636365,279.0,-0.002057890485593816,-0.00027120113372802734,0.2,-2.754818196594715,0.032470703125,25.35713768005371,0.004508869,0.9576278924942017,0.001,50,37.77097040265799
0,30409,14336,7,-184.6822073137255,279.0,-0.005027926639013458,-0.00014281272888183594,0.2,-2.7280582837760448,0.062939453125,26.805919647216797,0.010848906,0.9342362880706787,0.001,60,51.03847685754299
0,34494,16384,8,-184.30774560344827,279.0,-0.002222119550424395,-0.00010323524475097656,0.2,-2.682769990712404,0.061669921875,34.77030563354492,0.0068803746,0.9123614430427551,0.001,70,51.384787920117375
0,38682,18432,9,-183.92682546969698,279.0,-0.002026753888640087,7.62939453125e-05,0.2,-2.6471849150955675,0.036181640625,21.043292999267578,0.006963577,0.9055464267730713,0.001,80,54.430592980980876
0,42743,20480,10,-183.55675916438358,279.0,-0.00310915239242604,4.6312808990478516e-05,0.2,-2.6268301092088224,0.071435546875,15.171948432922363,0.004131359,0.8918993473052979,0.001,90,65.65429832041264
